Study,Species,Genus,Family,Order,Migration_distance,Location,Latitude,Longitude,Continent,Start_year,End_year,Predictor,Response_variable,Slope,SE,SE_calc,N,P_value,T_value,Temperature_location,Data_source,Arrival_location,,gendiet,maindiet,bodymass,bodysource,genhabitat,mainhabitat,hemisphere
"Rubolini, D., Ambrosini, R., Caffi, M., Brichetti, P., Armiraglio, S. & Saino, N. (2007) Long–term trends in first arrival and first egg laying dates of some migrant and resident bird species in northern Italy. International Journal of Biometeorology, 51, 553–563.     ",Delichon urbicum,Delichon,Hirundinidae,Passeriformes,long,Italy,45.4,10,Europe,1982,2006,temperature,first arrival,-1.28,0.76,,,,,breeding,standardized scientist observation in field or centre,breeding,,1,inv,14.5,Dunning08,2,0,northern
"Ahola, M., Laaksonen, T., Sippola, K., Eeva, T., Rainio, K. & Lehikoinen, E. (2004) Variation in climate warming along the migration route uncouples arrival and breeding dates. Global Change Biology, 10, 1610–1617.",Ficedula hypoleuca,Ficedula,Muscicapidae,Passeriformes,long,Finland,59.8,21.6,Europe,1970,2001,temperature,median arrival,-1.705,0.319,,,,,passage,standardized capture and ringing,passage,,1,inv,13.79,Dunning08,3,1,northern
"Ahola, M., Laaksonen, T., Sippola, K., Eeva, T., Rainio, K. & Lehikoinen, E. (2004) Variation in climate warming along the migration route uncouples arrival and breeding dates. Global Change Biology, 10, 1610–1617.",Ficedula hypoleuca,Ficedula,Muscicapidae,Passeriformes,long,Finland,59.8,21.6,Europe,1970,2002,temperature,median arrival,-1.099,0.35,,,,,breeding,standardized capture and ringing,breeding,,1,inv,13.79,Dunning08,3,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Contopus virens,Contopus,Tyrannidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.024,0.659,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,13.9,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Sayornis phoebe,Sayornis,Tyrannidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.892,0.819,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,19.7,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Tyrannus tyrannus,Tyrannus,Tyrannidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.466,0.382,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,39.85,Dunning08,3,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Vireo gilvus,Vireo,Vireonidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.971,0.822,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,12.67,Dunning08,2,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,0.181,0.494,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,16.06,Dunning08,2,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Riparia riparia,Riparia,Hirundinidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,0.465,1.009,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,12.68,Dunning08,2,0,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,0.117,0.747,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,1.305,0.583,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,50.09,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Dumetella carolinensis,Dumetella,Mimidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.392,0.53,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,35.3,Dunning08,3,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Toxostoma rufum,Toxostoma,Mimidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.707,1.004,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,68.8,Dunning08,2,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.817,0.316,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,10.22,Dunning08,3,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Dendroica coronata,Dendroica,Parulidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-3.311,1.113,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,11.94,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Dendroica pinus,Dendroica,Parulidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.534,0.9,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,11.79,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Mniotilta varia,Mniotilta,Parulidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.511,0.395,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,10.9,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.242,0.352,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,18.8,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.013,0.718,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,9.54,Dunning08,3,0,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Spizella passerina,Spizella,Emberizidae,Passeriformes,short,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-2.131,0.708,,,,,passage or breeding,citizen science data,passage or breeding,,2,other,12.2,Dunning08,4,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Piranga olivacea,Piranga,Cardinalidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.062,0.521,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,28.2,Dunning08,2,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Pheucticus ludovicianus,Pheucticus,Cardinalidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-1.736,0.57,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,42,Dunning08,1,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,0.885,0.815,,,,,passage or breeding,citizen science data,passage or breeding,,1,other,14.69,Dunning08,2,1,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Dolichonyx oryzivorus,Dolichonyx,Icteridae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,0.056,0.407,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,31.46,Dunning08,2,0,northern
"Ellwood, E.R., Primack, R.B. & Talmadge, M.L. (2010) Effects of climate change on spring arrival times of birds in Thoreau's Concord from 1851 to 2007. The Condor, 112, 754–762.   ",Icterus galbula,Icterus,Icteridae,Passeriformes,long,United States,42.5,-71.3,North America,1851,2007,temperature,first arrival,-0.546,0.277,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,32.83,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,short,United States,38,-76,North America,1990,2010,temperature,mean arrival,-2.982,1.494,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,9.54,Dunning08,3,0,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Icterus galbula,Icterus,Icteridae,Passeriformes,short,United States,38,-76,North America,1990,2010,temperature,mean arrival,-1.259,1.178,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,32.83,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,short,United States,38,-76,North America,1990,2010,temperature,mean arrival,-3.718,1.166,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,18.8,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Troglodytes aedon,Troglodytes,Troglodytidae,Passeriformes,short,United States,38,-76,North America,1990,2010,temperature,mean arrival,-0.753,1.927,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,10.85,Dunning08,4,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-1.566,1.38,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,10.22,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-1.078,1.527,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,50.09,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Myiarchus crinitus,Myiarchus,Tyrannidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-2.279,1.092,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,32.1,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,0.043,0.716,,,,,passage or breeding,citizen science data,passage or breeding,,1,other,14.69,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-1.456,1.139,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,16.06,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Contopus virens,Contopus,Tyrannidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-0.995,1.055,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,13.9,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Piranga olivacea,Piranga,Cardinalidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,0.131,0.929,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,28.2,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Tyrannus tyrannus,Tyrannus,Tyrannidae,Passeriformes,long,United States,38,-76,North America,1990,2010,temperature,mean arrival,-0.205,1.212,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,39.85,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Chaetura pelagica,Chaetura,Apodidae,Apodiformes,long,United States,26,-82,North America,1990,2010,temperature,mean arrival,0.538,1.988,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,23.6,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,short,United States,42,-90,North America,1990,2010,temperature,mean arrival,0.316,0.952,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,9.54,Dunning08,3,0,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Icterus galbula,Icterus,Icteridae,Passeriformes,short,United States,42,-90,North America,1990,2010,temperature,mean arrival,0.224,0.379,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,32.83,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,short,United States,42,-90,North America,1990,2010,temperature,mean arrival,0.399,0.404,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,18.8,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Troglodytes aedon,Troglodytes,Troglodytidae,Passeriformes,short,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.398,0.711,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,10.85,Dunning08,4,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.209,0.624,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,10.22,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.589,1.125,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,50.09,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Myiarchus crinitus,Myiarchus,Tyrannidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.435,1.069,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,32.1,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Setophaga ruticilla,Setophaga,Parulidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.032,0.23,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,8.24,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,0.125,0.612,,,,,passage or breeding,citizen science data,passage or breeding,,1,other,14.69,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Chaetura pelagica,Chaetura,Apodidae,Apodiformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.34,1.195,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,23.6,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-1.335,0.974,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,16.06,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Contopus virens,Contopus,Tyrannidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-1.295,0.869,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,13.9,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Piranga olivacea,Piranga,Cardinalidae,Apodiformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.971,0.535,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,28.2,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Tyrannus tyrannus,Tyrannus,Tyrannidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.614,0.738,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,39.85,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.863,0.63,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,17.91,Dunning08,4,0,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Pheucticus ludovicianus,Pheucticus,Cardinalidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,0.214,0.607,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,42,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Catharus fuscescens,Catharus,Turdidae,Passeriformes,long,United States,42,-90,North America,1990,2010,temperature,mean arrival,-0.495,1.378,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,31.9,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Geothlypis trichas,Geothlypis,Parulidae,Passeriformes,short,United States,38,-78,North America,1990,2010,temperature,mean arrival,0.03,1.669,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,9.54,Dunning08,3,0,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Icterus galbula,Icterus,Icteridae,Passeriformes,short,United States,38,-78,North America,1990,2010,temperature,mean arrival,-0.488,0.852,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,32.83,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Seiurus aurocapilla,Seiurus,Parulidae,Passeriformes,short,United States,38,-78,North America,1990,2010,temperature,mean arrival,-1.57,1.267,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,18.8,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Troglodytes aedon,Troglodytes,Troglodytidae,Passeriformes,short,United States,38,-78,North America,1990,2010,temperature,mean arrival,-1.61,0.546,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,10.85,Dunning08,4,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Dendroica petechia,Dendroica,Parulidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,2.437,0.925,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,10.22,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Hylocichla mustelina,Hylocichla,Turdidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,-0.295,0.754,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,50.09,Dunning08,1,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Myiarchus crinitus,Myiarchus,Tyrannidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,-0.591,0.595,,,,,passage or breeding,citizen science data,passage or breeding,,2,inv,32.1,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Setophaga ruticilla,Setophaga,Parulidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,0.129,1.001,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,8.24,Dunning08,3,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Passerina cyanea,Passerina,Cardinalidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,0.18,1.041,,,,,passage or breeding,citizen science data,passage or breeding,,1,other,14.69,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Chaetura pelagica,Chaetura,Apodidae,Apodiformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,-0.734,1.073,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,23.6,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Vireo olivaceus,Vireo,Vireonidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,-0.959,0.644,,,,,passage or breeding,citizen science data,passage or breeding,,3,inv,16.06,Dunning08,2,1,northern
"Hurlbert, A.H. & Liang, Z. (2012) Spatiotemporal variation in avian migration phenology: citizen science reveals effects of climate change.   PLoS ONE, 7, e31662. doi:10.1371/journal.pone.0031662.",Contopus virens,Contopus,Tyrannidae,Passeriformes,long,United States,38,-78,North America,1990,2010,temperature,mean arrival,-1.405,1.087,,,,,passage or breeding,citizen science data,passage or breeding,,1,inv,13.9,Dunning08,1,1,northern
