"Site","LatinName","CommonName","Height","Spread","AgeGroup","DiameterAt","Easting","Northing"
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328377,670475
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328377,670474
"Craigmillar Castle Park","Sambucus nigra","Common Elder","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328377,670476
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328379,670473
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328379,670473
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328379,670472
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328379,670951
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328380,670476
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328380,670951
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328380,670989
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","Up to 3 meters","Middle Aged","20 - 30",328381,670948
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328381,670471
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328381,670470
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328381,670470
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328382,670481
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","Up to 3 meters","Middle Aged","20 - 30",328382,670947
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","20 to 25 meters","9 to 12 meters","Middle Aged","60 - 70",328382,670702
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328383,670472
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328383,670699
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328383,670468
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328384,670987
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328384,670468
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328384,670945
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328384,670467
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328385,670947
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328385,670943
"Craigmillar Castle Park","Acer platanoides","Norway Maple","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328386,670986
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328386,670942
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328387,670941
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328387,670464
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328387,670466
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328387,670465
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328388,670475
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328388,670944
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328388,670852
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","20 - 30",328389,670472
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","Up to 3 meters","Middle Aged","20 - 30",328389,670938
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328389,670849
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328389,670463
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328390,670942
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328390,670937
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","Up to 3 meters","Semi-mature","10 - 20",328390,670462
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328390,670462
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328391,670935
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328392,670855
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328393,670934
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328393,670460
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328393,670460
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","9 to 12 meters","Middle Aged","60 - 70",328394,670932
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328394,670660
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328394,670465
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328394,670847
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328394,670458
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328394,670459
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328394,670979
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328394,670977
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328395,670458
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Mature","40 - 50",328395,670929
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328395,670853
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328395,670841
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328395,670457
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328395,670984
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328396,670687
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328396,670888
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","50 - 60",328396,670462
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Mature","40 - 50",328396,670926
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Mature","20 - 30",328396,670923
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Mature","30 - 40",328396,670918
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Mature","40 - 50",328396,670904
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","6 to 9 meters","Mature","60 - 70",328396,670901
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328396,670895
"Craigmillar Castle Park","Acer platanoides","Norway Maple","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328397,670863
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","6 to 9 meters","Mature","40 - 50",328397,670915
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","6 to 9 meters","Mature","50 - 60",328397,670913
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328397,670848
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328397,670455
"Craigmillar Castle Park","Acer platanoides","Norway Maple","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328398,670885
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328398,670460
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328398,670456
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Middle Aged","30 - 40",328398,670866
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328399,670454
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328399,670683
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328399,670975
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328399,670834
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328400,670453
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328400,670837
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328400,670839
"Craigmillar Castle Park","Prunus spp.","Cherry spp","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328401,670973
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328402,670451
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","6 to 9 meters","Middle Aged","20 - 30",328403,670834
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","Up to 3 meters","Semi-mature","10 - 20",328403,670452
"Craigmillar Castle Park","Larix spp.","Larch spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328405,670968
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328405,670831
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328405,670451
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","6 to 9 meters","Semi-mature","10 - 20",328406,670450
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328406,670457
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328406,670448
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328407,670830
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328407,670462
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328408,670672
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328408,670448
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328408,670449
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328409,670455
"Craigmillar Tip","Fraxinus excelsior","Common Ash","10 to 15 meters","9 to 12 meters","Middle Aged","50 - 60",328411,670966
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328411,670445
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328411,670448
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328411,670446
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328412,670668
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328412,670446
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328412,670447
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328412,670447
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","6 to 9 meters","Middle Aged","30 - 40",328413,670451
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328413,670977
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","Up to 3 meters","Middle Aged","20 - 30",328414,670450
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","Over 12 meters","Mature","60 - 70",328415,670641
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328415,670444
"Craigmillar Castle Park","Pinus sylvestris","Scots Pine","5 to 10 meters","3 to 6 meters","Mature","30 - 40",328415,670967
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328415,670454
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","9 to 12 meters","Middle Aged","40 - 50",328415,670445
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328415,670444
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328415,670444
"Craigmillar Castle Park","Prunus avium","Wild Cherry","5 to 10 meters","9 to 12 meters","Mature","50 - 60",328415,670612
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328416,670448
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328417,670443
"Craigmillar Castle Park","Crataegus monogyna","Hawthorn","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328417,670443
"Craigmillar Castle Park","Pinus sylvestris","Scots Pine","5 to 10 meters","Up to 3 meters","Mature","20 - 30",328417,670964
"Craigmillar Castle Park","Populus spp.","Poplar spp","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328417,670447
"Craigmillar Castle Park","Populus spp.","Poplar spp","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328418,670451
"Craigmillar Castle Park","Crataegus monogyna","Hawthorn","Up to 5 meters","3 to 6 meters","Mature","20 - 30",328419,670442
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328419,670441
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328421,670630
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328421,670440
"Craigmillar Castle Park","Acer spp.","Maple spp","10 to 15 meters","6 to 9 meters","Mature","40 - 50",328423,670616
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","30 - 40",328424,670964
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328424,670439
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328424,670440
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328425,670964
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","20 - 30",328427,670438
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328427,670438
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Middle Aged","20 - 30",328430,670436
"Craigmillar Castle Park","Crataegus monogyna","Hawthorn","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328434,670434
"Craigmillar Castle Park","Acer platanoides","Norway Maple","15 to 20 meters","Over 12 meters","Mature","60 - 70",328435,670655
"Craigmillar Castle Park","Acer spp.","Maple spp","10 to 15 meters","6 to 9 meters","Mature","50 - 60",328435,670642
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328435,670434
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328437,670964
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328440,670431
"Craigmillar Castle Park","Sambucus nigra","Common Elder","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328442,670430
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Semi-mature","10 - 20",328444,670429
"Craigmillar Castle Park","Fraxinus excelsior","Common Ash","10 to 15 meters","3 to 6 meters","Semi-mature","10 - 20",328444,670430
"Craigmillar Castle Park","Ilex aquifolium","Common Holly","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328445,670428
"Craigmillar Castle Park","Larix spp.","Larch spp","5 to 10 meters","3 to 6 meters","Mature","40 - 50",328448,670966
"Craigmillar Castle Park","Acer platanoides","Norway Maple","10 to 15 meters","9 to 12 meters","Mature","60 - 70",328450,670675
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","6 to 9 meters","Mature","70 - 80",328458,670653
"Craigmillar Castle Park","Prunus spp.","Cherry spp","5 to 10 meters","9 to 12 meters","Mature","60 - 70",328463,670689
"Craigmillar Castle Park","Populus spp.","Poplar spp","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328475,670973
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328478,670412
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","40 - 50",328479,670414
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328480,671138
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","40 - 50",328486,670411
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328489,670417
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328491,670406
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328491,671127
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328494,671123
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328494,670405
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328497,670669
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","3 to 6 meters","Semi-mature","20 - 30",328498,670403
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328499,670403
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","30 - 40",328501,671135
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328504,671133
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328506,670400
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670399
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670400
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328509,670400
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","Over 12 meters","Middle Aged","70 - 80",328511,670677
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328513,670399
"Craigmillar Castle Park","Salix caprea","Goat Willow","5 to 10 meters","6 to 9 meters","Semi-mature","30 - 40",328519,670828
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328521,670908
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","3 to 6 meters","Semi-mature","20 - 30",328521,670892
"Craigmillar Castle Park","Betula pendula","Silver Birch","10 to 15 meters","3 to 6 meters","Middle Aged","20 - 30",328523,670972
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328524,670923
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328525,670675
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328526,670916
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328526,670889
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","40 - 50",328527,670999
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328527,671005
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670919
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670920
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670919
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670917
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328527,670885
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","Up to 5 meters","Up to 3 meters","Semi-mature","10 - 20",328527,670913
"Craigmillar Castle Park","Alnus glutinosa","Common Alder","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328527,670813
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328528,671017
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328528,670918
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328528,670917
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328528,671011
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328529,670883
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328529,670809
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","60 - 70",328530,671025
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","Up to 3 meters","Semi-mature","10 - 20",328530,670918
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328531,671031
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","70 - 80",328533,671019
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","30 - 40",328533,671041
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328533,671047
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","9 to 12 meters","Middle Aged","60 - 70",328533,670990
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","10 to 15 meters","6 to 9 meters","Middle Aged","50 - 60",328534,671052
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","15 to 20 meters","6 to 9 meters","Middle Aged","50 - 60",328534,671059
"Craigmillar Castle Park","Acer pseudoplatanus","Sycamore","5 to 10 meters","3 to 6 meters","Semi-mature","10 - 20",328534,670394
"Craigmillar Castle Park","Aesculus hippocastanum","Horse Chestnut","5 to 10 meters","6 to 9 meters","Middle Aged","40 - 50",328534,671087
"Craigmillar Castle Park","Fagus sylvatica","Common Beech","20 to 25 meters","Over 12 meters","Middle Aged","70 - 80",328534,670646
